Lane,Lib,Type,ReadLength,Volume/G,NoneN_Bases,SingleReadsCount,VolumeRatio/%,OnemisRatio/%,QualifiedRatio/%,DiscardRatio/%,GC/%,Q20/%,Q30/%,R1_GC/%,R2_GC/%,R1_Q20/%,R2_Q20/%,R1_Q30/%,R2_Q30/%
L002,HUMCDGEYIPEI-267-v109,PE,76,3.38,3.3529e+09,44419712,16.25,6.13,99.91,0.09,49.13,93.92,91.93,49.12,49.15,94.95,92.88,93.16,90.71
L002,HUMCDGEYJPEI-269-v109,PE,76,3.31,3.2898e+09,43582676,15.94,1.96,99.91,0.09,48.76,94.12,92.21,48.73,48.80,95.07,93.16,93.34,91.08
L002,HUMCDGEYFPEI-213-v109,PE,76,3.93,3.9061e+09,51750172,18.93,1.90,99.91,0.09,48.54,94.06,92.14,48.50,48.59,95.12,93.00,93.39,90.89
L002,HUMCAAXH0PEI-108-mini,PE,76,0.07,7.2365e+07,960060,0.35,3.56,99.80,0.20,42.93,93.75,91.79,42.30,43.57,95.38,92.13,93.73,89.85
L002,Total,PE,76,20.77,NA,273335078,100.00,NA,99.91,0.09,48.81,93.71,91.68,48.75,48.87,94.82,92.59,93.00,90.35
L003,Undetermined,PE,76,1.73,NA,22792310,8.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L003,HUMCDGEYDPEI-243-v108,PE,76,0.76,7.5254e+08,9969860,3.59,6.91,99.97,0.03,45.59,95.03,93.28,45.53,45.64,95.80,94.26,94.22,92.34
L003,HUMCNGEXSPEI-231-v109,PE,76,0.47,4.6688e+08,6182990,2.23,5.03,99.96,0.04,47.69,93.63,91.44,47.60,47.78,94.88,92.38,92.96,89.92
L003,HUMCNGEXTPEI-274-v109,PE,76,0.40,3.9258e+08,5198786,1.87,4.49,99.97,0.03,48.06,93.37,91.11,47.92,48.20,94.78,91.95,92.82,89.39
L003,HUMCNGEXUPEI-240-v109,PE,76,0.33,3.2883e+08,4354816,1.57,5.42,99.97,0.03,46.93,93.70,91.53,46.80,47.06,94.98,92.41,93.09,89.96
L003,HUMCNGEXVPEI-235-v109,PE,76,0.43,4.3095e+08,5706630,2.06,7.62,99.97,0.03,48.58,93.63,91.45,48.46,48.69,94.67,92.60,92.68,90.21
L003,HUMCNGEXWPEI-220-v109,PE,76,0.42,4.2005e+08,5562588,2.01,3.57,99.97,0.03,47.98,93.59,91.37,47.86,48.11,94.71,92.47,92.71,90.02
L003,HUMCNGEXYPEI-206-v109,PE,76,0.44,4.4060e+08,5834172,2.10,8.13,99.97,0.03,49.28,93.50,91.26,49.19,49.37,94.74,92.25,92.77,89.75
L003,HUMCNGEYLPEI-279-v109,PE,76,0.36,3.5505e+08,4701576,1.69,5.82,99.97,0.03,48.36,93.09,90.75,48.22,48.51,94.62,91.56,92.60,88.90
L003,HUMCNGEXZPEI-215-v109,PE,76,1.07,1.0604e+09,14042084,5.06,4.00,99.97,0.03,48.68,93.43,91.20,48.54,48.82,94.81,92.05,92.88,89.52
L003,HUMCNGENWPEI-281-v109,PE,76,0.20,2.0134e+08,2666268,0.96,4.96,99.97,0.03,47.58,92.67,90.17,47.47,47.69,94.28,91.06,92.11,88.23
L003,HUMCNGENVPEI-275-v109,PE,76,0.81,8.0800e+08,10699042,3.86,7.19,99.97,0.03,49.08,93.12,90.77,48.96,49.20,94.37,91.86,92.25,89.28
L003,HUMCNGEYNPEI-284-v109,PE,76,1.45,1.4333e+09,19138092,6.90,3.29,99.94,0.06,52.24,93.42,91.44,52.14,52.34,93.81,93.03,91.93,90.96
